Thread.checkAccess()	Determines if the currently running thread has permission to modify this thread
System.nanoTime()	Returns the current value of the running Java Virtual Machine s high resolution time source in nanoseconds
Boolean.Boolean(boolean)	Allocates a Boolean object representing the value argument
Short.compare(short,short)	Compares two short values numerically
IllegalArgumentException.IllegalArgumentException(String)	Constructs an IllegalArgumentException with the specified detail message
Byte.parseByte(String,int)	Parses the string argument as a signed byte in the radix specified by the second argument The characters in the string must all be digits of the specified radix as determined by whether Character digit char int returns a nonnegative value except that the first character may be an ASCII minus sign u002D to indicate a negative value or an ASCII plus sign u002B to indicate a positive value The resulting byte value is returned
StrictMath.scalb(float,int)	Return f 2scaleFactor rounded as if performed by a single correctly rounded floating point multiply to a member of the float value set See the Java Language Specification for a discussion of floating point value sets If the exponent of the result is between Float MIN EXPONENT and Float MAX EXPONENT the answer is calculated exactly If the exponent of the result would be larger than Float MAX EXPONENT an infinity is returned Note that if the result is subnormal precision may be lost that is when scalb x n is subnormal scalb scalb x n n may not equal x When the result is non NaN the result has the same sign as f
InstantiationException.InstantiationException()	Constructs an InstantiationException with no detail message
MethodType.generic()	Converts all types both reference and primitive to Object
String.getChars(int,int,char[],int)	Copies characters from this string into the destination character array
Class.isLocalClass()	Returns true if and only if the underlying class is a local class
MethodHandles.Lookup.findStaticSetter(Class,String,Class)	Produces a method handle giving write access to a static field
Character.isISOControl(int)	Determines if the referenced character Unicode code point is an ISO control character A character is considered to be an ISO control character if its code is in the range u0000 through u001F or in the range u007F through u009F
Member.isSynthetic()	Returns true if this member was introduced by the compiler returns false otherwise
Field.getDeclaredAnnotations()	Description copied from interface AnnotatedElement
Character.codePointAt(char[],int)	Returns the code point at the given index of the char array If the char value at the given index in the char array is in the high surrogate range the following index is less than the length of the char array and the char value at the following index is in the low surrogate range then the supplementary code point corresponding to this surrogate pair is returned Otherwise the char value at the given index is returned
Array.setByte(Object,int,byte)	Sets the value of the indexed component of the specified array object to the specified byte value
StringBuffer.setLength(int)	Sets the length of the character sequence
SecurityException.SecurityException(String)	Constructs a SecurityException with the specified detail message
Method.getParameterTypes()	Returns an array of Class objects that represent the formal parameter types in declaration order of the method represented by this Method object Returns an array of length 0 if the underlying method takes no parameters
Array.newInstance(Class,)	Creates a new array with the specified component type and dimensions
Class.newInstance()	Creates a new instance of the class represented by this Class object The class is instantiated as if by a new expression with an empty argument list The class is initialized if it has not already been initialized
MethodType.wrap()	Converts all primitive types to their corresponding wrapper types
Class.getResourceAsStream(String)	Finds a resource with a given name The rules for searching resources associated with a given class are implemented by the defining class loader of the class This method delegates to this object s class loader If this object was loaded by the bootstrap class loader the method delegates to ClassLoader getSystemResourceAsStream java lang String
StringBuilder.setLength(int)	Sets the length of the character sequence
CharSequence.length()	Returns the length of this character sequence The length is the number of 16 bit chars in the sequence
ThreadMXBean.resetPeakThreadCount()	Resets the peak thread count to the current number of live threads
ReflectiveOperationException.ReflectiveOperationException(String)	Constructs a new exception with the specified detail message
MethodType.insertParameterTypes(int,List)	Finds or creates a method type with additional parameter types
ThreadMXBean.setThreadCpuTimeEnabled(boolean)	Enables or disables thread CPU time measurement The default is platform dependent
Integer.hashCode()	Returns a hash code for this Integer
Character.isSurrogatePair(char,char)	Determines whether the specified pair of char values is a valid Unicode surrogate pair
MemoryPoolMXBean.setCollectionUsageThreshold(long)	Sets the collection usage threshold of this memory pool to the given threshold value
Short.Short(String)	Constructs a newly allocated Short object that represents the short value indicated by the String parameter The string is converted to a short value in exactly the manner used by the parseShort method for radix 10
StrictMath.tan(double)	Returns the trigonometric tangent of an angle Special cases If the argument is NaN or an infinity then the result is NaN
StrictMath.signum(double)	Returns the signum function of the argument zero if the argument is zero 1 0 if the argument is greater than zero 1 0 if the argument is less than zero
RuntimeException.RuntimeException()	Constructs a new runtime exception with null as its detail message The cause is not initialized and may subsequently be initialized by a call to Throwable initCause java lang Throwable
StrictMath.getExponent(float)	Returns the unbiased exponent used in the representation of a float Special cases If the argument is NaN or infinite then the result is Float MAX EXPONENT 1
ProcessBuilder.redirectErrorStream()	Tells whether this process builder merges standard error and standard output
Method.getReturnType()	Returns a Class object that represents the formal return type of the method represented by this Method object
Method.toGenericString()	Returns a string describing this Method including type parameters The string is formatted as the method access modifiers if any followed by an angle bracketed comma separated list of the method s type parameters if any followed by the method s generic return type followed by a space followed by the class declaring the method followed by a period followed by the method name followed by a parenthesized comma separated list of the method s generic formal parameter types
Short.toString(short)	Returns a new String object representing the specified short The radix is assumed to be 10
StrictMath.sin(double)	Returns the trigonometric sine of an angle Special cases If the argument is NaN or an infinity then the result is NaN
String.format(Locale,String,)	Returns a formatted string using the specified locale format string and arguments
ThreadGroup.enumerate(ThreadGroup[])	Copies into the specified array references to every active subgroup in this thread group and its subgroups
CallSite.setTarget(MethodHandle)	Updates the target method of this call site according to the behavior defined by this call site s specific class
String.lastIndexOf(int,int)	Returns the index within this string of the last occurrence of the specified character searching backward starting at the specified index For values of ch in the range from 0 to 0xFFFF inclusive the index returned is the largest value k such that this charAt k ch k fromIndex is true For other values of ch it is the largest value k such that this codePointAt k ch k fromIndex is true In either case if no such character occurs in this string at or before position fromIndex then 1 is returned
SecurityManager.checkListen(int)	Throws a SecurityException if the calling thread is not allowed to wait for a connection request on the specified local port number
MethodHandles.catchException(MethodHandle,Class,MethodHandle)	Makes a method handle which adapts a target method handle by running it inside an exception handler
System.setProperties(Properties)	Sets the system properties to the Properties argument
StrictMath.cbrt(double)	Returns the cube root of a double value For positive finite x cbrt x cbrt x that is the cube root of a negative value is the negative of the cube root of that value s magnitude
ClassLoader.getParent()	Returns the parent class loader for delegation Some implementations may use null to represent the bootstrap class loader This method will return null in such implementations if this class loader s parent is the bootstrap class loader
Package.getPackages()	Get all the packages currently known for the caller s ClassLoader instance Those packages correspond to classes loaded via or accessible by name to that ClassLoader instance If the caller s ClassLoader instance is the bootstrap ClassLoader instance which may be represented by null in some implementations only packages corresponding to classes loaded by the bootstrap ClassLoader instance will be returned
String.valueOf(boolean)	Returns the string representation of the boolean argument
StringBuffer.codePointBefore(int)	Returns the character Unicode code point before the specified index The index refers to char values Unicode code units and ranges from 1 to length
Field.setFloat(Object,float)	Sets the value of a field as a float on the specified object
Thread.suspend()	Suspends this thread
AssertionError.AssertionError(boolean)	Constructs an AssertionError with its detail message derived from the specified boolean which is converted to a string as defined in section 15 18 1 1 of The Java Language Specification
MethodType.parameterCount()	Returns the number of parameter types in this method type
MethodHandle.invokeWithArguments(List)	Performs a variable arity invocation passing the arguments in the given array to the method handle as if via an inexact invoke from a call site which mentions only the type Object and whose arity is the length of the argument array
System.getProperty(String,String)	Gets the system property indicated by the specified key
Throwable.toString()	Returns a short description of this throwable
Character.isSurrogate(char)	Determines if the given char value is a Unicode surrogate code unit
ThreadMXBean.isObjectMonitorUsageSupported()	Tests if the Java virtual machine supports monitoring of object monitor usage
Package.getPackage(String)	Find a package by name in the callers ClassLoader instance
Class.getEnumConstants()	Returns the elements of this enum class or null if this Class object does not represent an enum type
Class.isArray()	Determines if this Class object represents an array class
ArrayIndexOutOfBoundsException.ArrayIndexOutOfBoundsException()	Constructs an ArrayIndexOutOfBoundsException with no detail message
Integer.shortValue()	Returns the value of this Integer as a short
ThreadMXBean.getThreadCount()	Returns the current number of live threads including both daemon and non daemon threads
Double.byteValue()	Returns the value of this Double as a byte by casting to a byte
Field.get(Object)	Returns the value of the field represented by this Field on the specified object The value is automatically wrapped in an object if it has a primitive type
MemoryMXBean.setVerbose(boolean)	Enables or disables verbose output for the memory system The verbose output information and the output stream to which the verbose information is emitted are implementation dependent Typically a Java virtual machine implementation prints a message whenever it frees memory at garbage collection
Character.codePointBefore(char[],int,int)	Returns the code point preceding the given index of the char array where only array elements with index greater than or equal to start can be used If the char value at index 1 in the char array is in the low surrogate range index 2 is not less than start and the char value at index 2 in the char array is in the high surrogate range then the supplementary code point corresponding to this surrogate pair is returned Otherwise the char value at index 1 is returned
Class.getEnclosingClass()	Returns the immediately enclosing class of the underlying class If the underlying class is a top level class this method returns null
Field.getChar(Object)	Gets the value of a static or instance field of type char or of another primitive type convertible to type char via a widening conversion
InvocationTargetException.getTargetException()	Get the thrown target exception
StringBuffer.insert(int,double)	Inserts the string representation of the double argument into this sequence
System.runFinalizersOnExit(boolean)	Enable or disable finalization on exit doing so specifies that the finalizers of all objects that have finalizers that have not yet been automatically invoked are to be run before the Java runtime exits
Short.longValue()	Returns the value of this Short as a long
Object.notify()	Wakes up a single thread that is waiting on this object s monitor If any threads are waiting on this object one of them is chosen to be awakened The choice is arbitrary and occurs at the discretion of the implementation A thread waits on an object s monitor by calling one of the wait methods
MemoryMXBean.getNonHeapMemoryUsage()	Returns the current memory usage of non heap memory that is used by the Java virtual machine
Integer.Integer(String)	Constructs a newly allocated Integer object that represents the int value indicated by the String parameter The string is converted to an int value in exactly the manner used by the parseInt method for radix 10
MalformedParameterizedTypeException.MalformedParameterizedTypeException()	
ThreadMXBean.isThreadContentionMonitoringSupported()	Tests if the Java virtual machine supports thread contention monitoring
Runnable.run()	When an object implementing interface Runnable is used to create a thread starting the thread causes the object s run method to be called in that separately executing thread
OperatingSystemMXBean.getName()	Returns the operating system name
Thread.isAlive()	Tests if this thread is alive A thread is alive if it has been started and has not yet died
ArrayStoreException.ArrayStoreException()	Constructs an ArrayStoreException with no detail message
Constructor.getParameterTypes()	Returns an array of Class objects that represent the formal parameter types in declaration order of the constructor represented by this Constructor object Returns an array of length 0 if the underlying constructor takes no parameters
StringBuffer.StringBuffer(String)	Constructs a string buffer initialized to the contents of the specified string The initial capacity of the string buffer is 16 plus the length of the string argument
MethodHandleProxies.isWrapperInstance(Object)	Determines if the given object was produced by a call to asInterfaceInstance
ThreadInfo.getLockInfo()	Returns the LockInfo of an object for which the thread associated with this ThreadInfo is blocked waiting
Constructor.isSynthetic()	Returns true if this constructor is a synthetic constructor returns false otherwise
MemoryPoolMXBean.resetPeakUsage()	Resets the peak memory usage statistic of this memory pool to the current memory usage
Package.isAnnotationPresent(Class)	Description copied from interface AnnotatedElement
Math.acos(double)	Returns the arc cosine of a value the returned angle is in the range 0 0 through pi Special case If the argument is NaN or its absolute value is greater than 1 then the result is NaN
SecurityManager.checkSetFactory()	Throws a SecurityException if the calling thread is not allowed to set the socket factory used by ServerSocket or Socket or the stream handler factory used by URL
String.split(String,int)	Splits this string around matches of the given regular expression
Thread.join(long,int)	Waits at most millis milliseconds plus nanos nanoseconds for this thread to die
MethodType.hasWrappers()	Reports if this type contains a wrapper argument or return value
StringBuffer.insert(int,String)	Inserts the string into this character sequence
StringBuffer.setCharAt(int,char)	The character at the specified index is set to ch This sequence is altered to represent a new character sequence that is identical to the old character sequence except that it contains the character ch at position index
Method.getGenericReturnType()	Returns a Type object that represents the formal return type of the method represented by this Method object
StringBuilder.codePointAt(int)	Returns the character Unicode code point at the specified index The index refers to char values Unicode code units and ranges from 0 to length 1
Character.codePointAt(CharSequence,int)	Returns the code point at the given index of the CharSequence If the char value at the given index in the CharSequence is in the high surrogate range the following index is less than the length of the CharSequence and the char value at the following index is in the low surrogate range then the supplementary code point corresponding to this surrogate pair is returned Otherwise the char value at the given index is returned
Long.numberOfTrailingZeros(long)	Returns the number of zero bits following the lowest order rightmost one bit in the two s complement binary representation of the specified long value Returns 64 if the specified value has no one bits in its two s complement representation in other words if it is equal to zero
IncompleteAnnotationException.annotationType()	Returns the Class object for the annotation type with the missing element
Character.UnicodeBlock.of(char)	Returns the object representing the Unicode block containing the given character or null if the character is not a member of a defined block
Double.toHexString(double)	Returns a hexadecimal string representation of the double argument All characters mentioned below are ASCII characters
Class.isAssignableFrom(Class)	Determines if the class or interface represented by this Class object is either the same as or is a superclass or superinterface of the class or interface represented by the specified Class parameter It returns true if so otherwise it returns false If this Class object represents a primitive type this method returns true if the specified Class parameter is exactly this Class object otherwise it returns false
StringBuilder.insert(int,char)	Inserts the string representation of the char argument into this sequence
System.getProperty(String)	Gets the system property indicated by the specified key
Math.sinh(double)	Returns the hyperbolic sine of a double value
Double.toString(double)	Returns a string representation of the double argument All characters mentioned below are ASCII characters
Double.doubleToLongBits(double)	Returns a representation of the specified floating point value according to the IEEE 754 floating point double format bit layout
AccessibleObject.setAccessible(AccessibleObject[],boolean)	Convenience method to set the accessible flag for an array of objects with a single security check for efficiency
StringBuffer.indexOf(String)	Returns the index within this string of the first occurrence of the specified substring The integer returned is the smallest value k such that this toString startsWith str k is true
MethodHandles.guardWithTest(MethodHandle,MethodHandle,MethodHandle)	Makes a method handle which adapts a target method handle by guarding it with a test a boolean valued method handle
ThreadMXBean.getThreadInfo(long[],boolean,boolean)	Returns the thread info for each thread whose ID is in the input array ids with stack trace and synchronization information
ProcessBuilder.environment()	Returns a string map view of this process builder s environment
MethodType.genericMethodType(int)	Finds or creates a method type whose components are all Object
Exception.Exception(String)	Constructs a new exception with the specified detail message The cause is not initialized and may subsequently be initialized by a call to Throwable initCause java lang Throwable
StringBuilder.insert(int,int)	Inserts the string representation of the second int argument into this sequence
StringBuffer.append(boolean)	Appends the string representation of the boolean argument to the sequence
Enum.toString()	Returns the name of this enum constant as contained in the declaration This method may be overridden though it typically isn t necessary or desirable An enum type should override this method when a more programmer friendly string form exists
ThreadGroup.getParent()	Returns the parent of this thread group
MethodHandles.Lookup.lookupClass()	Tells which class is performing the lookup It is this class against which checks are performed for visibility and access permissions
MethodHandles.Lookup.unreflectGetter(Field)	Produces a method handle giving read access to a reflected field
String.replaceFirst(String,String)	Replaces the first substring of this string that matches the given regular expression with the given replacement
Throwable.getCause()	Returns the cause of this throwable or null if the cause is nonexistent or unknown The cause is the throwable that caused this throwable to get thrown This implementation returns the cause that was supplied via one of the constructors requiring a Throwable or that was set after creation with the initCause Throwable method While it is typically unnecessary to override this method a subclass can override it to return a cause set by some other means This is appropriate for a legacy chained throwable that predates the addition of chained exceptions to Throwable Note that it is not necessary to override any of the PrintStackTrace methods all of which invoke the getCause method to determine the cause of a throwable
Character.toUpperCase(char)	Converts the character argument to uppercase using case mapping information from the UnicodeData file
Class.getDeclaredMethods()	Returns an array of Method objects reflecting all the methods declared by the class or interface represented by this Class object This includes public protected default package access and private methods but excludes inherited methods
MethodHandle.asType(MethodType)	Produces an adapter method handle which adapts the type of the current method handle to a new type
Thread.yield()	A hint to the scheduler that the current thread is willing to yield its current use of a processor The scheduler is free to ignore this hint
CharSequence.subSequence(int,int)	Returns a new CharSequence that is a subsequence of this sequence
Integer.parseInt(String,int)	Parses the string argument as a signed integer in the radix specified by the second argument The characters in the string must all be digits of the specified radix as determined by whether Character digit char int returns a nonnegative value except that the first character may be an ASCII minus sign u002D to indicate a negative value or an ASCII plus sign u002B to indicate a positive value The resulting integer value is returned
Thread.enumerate(Thread[])	Copies into the specified array every active thread in the current thread s thread group and its subgroups This method simply invokes the ThreadGroup enumerate Thread method of the current thread s thread group
Modifier.isStrict(int)	Return true if the integer argument includes the strictfp modifier false otherwise
Thread.UncaughtExceptionHandler.uncaughtException(Thread,Throwable)	Method invoked when the given thread terminates due to the given uncaught exception
ClassLoader.clearAssertionStatus()	Sets the default assertion status for this class loader to false and discards any package defaults or class assertion status settings associated with the class loader This method is provided so that class loaders can be made to ignore any command line or persistent assertion status settings and start with a clean slate
Character.isLowerCase(int)	Determines if the specified character Unicode code point is a lowercase character
ThreadLocal.remove()	Removes the current thread s value for this thread local variable If this thread local variable is subsequently read by the current thread its value will be reinitialized by invoking its initialValue method unless its value is set by the current thread in the interim This may result in multiple invocations of the initialValue method in the current thread
Thread.getState()	Returns the state of this thread
Thread.sleep(long)	Causes the currently executing thread to sleep temporarily cease execution for the specified number of milliseconds subject to the precision and accuracy of system timers and schedulers The thread does not lose ownership of any monitors
Float.valueOf(String)	Returns a Float object holding the float value represented by the argument string s
StrictMath.scalb(double,int)	Return d 2scaleFactor rounded as if performed by a single correctly rounded floating point multiply to a member of the double value set See the Java Language Specification for a discussion of floating point value sets If the exponent of the result is between Double MIN EXPONENT and Double MAX EXPONENT the answer is calculated exactly If the exponent of the result would be larger than Double MAX EXPONENT an infinity is returned Note that if the result is subnormal precision may be lost that is when scalb x n is subnormal scalb scalb x n n may not equal x When the result is non NaN the result has the same sign as d
InstantiationError.InstantiationError()	Constructs an InstantiationError with no detail message
ThreadGroup.isDestroyed()	Tests if this thread group has been destroyed
Character.compareTo(Character)	Compares two Character objects numerically
Field.getType()	Returns a Class object that identifies the declared type for the field represented by this Field object
ClassLoadingMXBean.getTotalLoadedClassCount()	Returns the total number of classes that have been loaded since the Java virtual machine has started execution
Math.getExponent(double)	Returns the unbiased exponent used in the representation of a double Special cases If the argument is NaN or infinite then the result is Double MAX EXPONENT 1
Character.charValue()	Returns the value of this Character object
Math.nextUp(float)	Returns the floating point value adjacent to f in the direction of positive infinity This method is semantically equivalent to nextAfter f Float POSITIVE INFINITY however a nextUp implementation may run faster than its equivalent nextAfter call
UnsupportedOperationException.UnsupportedOperationException(String,Throwable)	Constructs a new exception with the specified detail message and cause
CharSequence.toString()	Returns a string containing the characters in this sequence in the same order as this sequence The length of the string will be the length of this sequence
Throwable.printStackTrace(PrintStream)	Prints this throwable and its backtrace to the specified print stream
Integer.toBinaryString(int)	Returns a string representation of the integer argument as an unsigned integer in base 2
NoSuchFieldError.NoSuchFieldError()	Constructs a NoSuchFieldError with no detail message
Constructor.getAnnotation(Class)	Description copied from interface AnnotatedElement
StringBuffer.append(String)	Appends the specified string to this character sequence
MethodHandles.lookup()	Returns a lookup object on the caller which has the capability to access any method handle that the caller has access to including direct method handles to private fields and methods
MethodHandles.Lookup.findGetter(Class,String,Class)	Produces a method handle giving read access to a non static field
MethodHandles.spreadInvoker(MethodType,int)	Produces a method handle which will invoke any method handle of the given type with a given number of trailing arguments replaced by a single trailing Object array
ClassNotFoundException.ClassNotFoundException(String,Throwable)	Constructs a ClassNotFoundException with the specified detail message and optional exception that was raised while loading the class
StackTraceElement.getClassName()	Returns the fully qualified name of the class containing the execution point represented by this stack trace element
Character.isUnicodeIdentifierPart(char)	Determines if the specified character may be part of a Unicode identifier as other than the first character
Byte.byteValue()	Returns the value of this Byte as a byte
Method.invoke(Object,)	Invokes the underlying method represented by this Method object on the specified object with the specified parameters
Constructor.getModifiers()	Returns the Java language modifiers for the constructor represented by this Constructor object as an integer The Modifier class should be used to decode the modifiers
System.getenv(String)	Gets the value of the specified environment variable An environment variable is a system dependent external named value
MethodHandles.dropArguments(MethodHandle,int,List)	Produces a method handle which will discard some dummy arguments before calling some other specified target method handle
MethodHandles.Lookup.bind(Object,String,MethodType)	Produces an early bound method handle for a non static method
Character.Subset.toString()	Returns the name of this subset
ReferenceQueue.ReferenceQueue()	Constructs a new reference object queue
WeakReference.WeakReference(T,ReferenceQueue)	Creates a new weak reference that refers to the given object and is registered with the given queue
Class.getClasses()	Returns an array containing Class objects representing all the public classes and interfaces that are members of the class represented by this Class object This includes public class and interface members inherited from superclasses and public class and interface members declared by the class This method returns an array of length 0 if this Class object has no public member classes or interfaces This method also returns an array of length 0 if this Class object represents a primitive type an array class or void
Class.getTypeParameters()	Returns an array of TypeVariable objects that represent the type variables declared by the generic declaration represented by this GenericDeclaration object in declaration order Returns an array of length 0 if the underlying generic declaration declares no type variables
Class.getDeclaredClasses()	Returns an array of Class objects reflecting all the classes and interfaces declared as members of the class represented by this Class object This includes public protected default package access and private classes and interfaces declared by the class but excludes inherited classes and interfaces This method returns an array of length 0 if the class declares no classes or interfaces as members or if this Class object represents a primitive type an array class or void
Double.longBitsToDouble(long)	Returns the double value corresponding to a given bit representation
Method.getExceptionTypes()	Returns an array of Class objects that represent the types of the exceptions declared to be thrown by the underlying method represented by this Method object Returns an array of length 0 if the method declares no exceptions in its throws clause
SecurityManager.checkSecurityAccess(String)	Determines whether the permission with the specified permission target name should be granted or denied
String.hashCode()	Returns a hash code for this string The hash code for a String object is computed as s 0 31 n 1 s 1 31 n 2 s n 1 using int arithmetic where s i is the ith character of the string n is the length of the string and indicates exponentiation
NullPointerException.NullPointerException()	Constructs a NullPointerException with no detail message
Character.toChars(int)	Converts the specified character Unicode code point to its UTF 16 representation stored in a char array If the specified code point is a BMP Basic Multilingual Plane or Plane 0 value the resulting char array has the same value as codePoint If the specified code point is a supplementary code point the resulting char array has the corresponding surrogate pair
Double.longValue()	Returns the value of this Double as a long by casting to type long
ThreadMXBean.getThreadInfo(long)	Returns the thread info for a thread of the specified id with no stack trace
ConstantCallSite.dynamicInvoker()	Returns this call site s permanent target
SecurityManager.checkMulticast(InetAddress)	Throws a SecurityException if the calling thread is not allowed to use join leave send receive IP multicast
ManagementFactory.getPlatformMXBeans(MBeanServerConnection,Class)	Returns the list of the platform MXBean proxies for forwarding the method calls of the mxbeanInterface through the given MBeanServerConnection
Short.toString()	Returns a String object representing this Short s value The value is converted to signed decimal representation and returned as a string exactly as if the short value were given as an argument to the toString short method
ThreadInfo.from(CompositeData)	Returns a ThreadInfo object represented by the given CompositeData
String.trim()	Returns a copy of the string with leading and trailing whitespace omitted
Modifier.methodModifiers()	Return an int value OR ing together the source language modifiers that can be applied to a method
ThreadGroup.suspend()	Suspends all threads in this thread group
ManagementFactory.getRuntimeMXBean()	Returns the managed bean for the runtime system of the Java virtual machine
System.exit(int)	Terminates the currently running Java Virtual Machine The argument serves as a status code by convention a nonzero status code indicates abnormal termination
String.toString()	This object which is already a string is itself returned
Integer.toHexString(int)	Returns a string representation of the integer argument as an unsigned integer in base 16
Modifier.isStatic(int)	Return true if the integer argument includes the static modifier false otherwise
Constructor.getGenericExceptionTypes()	Returns an array of Type objects that represent the exceptions declared to be thrown by this Constructor object
StringBuffer.insert(int,float)	Inserts the string representation of the float argument into this sequence
StringBuilder.subSequence(int,int)	Returns a new character sequence that is a subsequence of this sequence
String.charAt(int)	Returns the char value at the specified index An index ranges from 0 to length 1 The first char value of the sequence is at index 0 the next at index 1 and so on as for array indexing
Package.getSpecificationTitle()	Return the title of the specification that this package implements
ThreadMXBean.findDeadlockedThreads()	Finds cycles of threads that are in deadlock waiting to acquire object monitors or ownable synchronizers
Modifier.isVolatile(int)	Return true if the integer argument includes the volatile modifier false otherwise
Method.getDeclaringClass()	Returns the Class object representing the class or interface that declares the method represented by this Method object
Error.Error(Throwable)	Constructs a new error with the specified cause and a detail message of cause null null cause toString which typically contains the class and detail message of cause
Class.getDeclaredField(String)	Returns a Field object that reflects the specified declared field of the class or interface represented by this Class object The name parameter is a String that specifies the simple name of the desired field Note that this method will not reflect the length field of an array class
Exception.Exception(Throwable)	Constructs a new exception with the specified cause and a detail message of cause null null cause toString which typically contains the class and detail message of cause
Character.offsetByCodePoints(CharSequence,int,int)	Returns the index within the given char sequence that is offset from the given index by codePointOffset code points Unpaired surrogates within the text range given by index and codePointOffset count as one code point each
Compiler.enable()	Cause the Compiler to resume operation
NoClassDefFoundError.NoClassDefFoundError()	Constructs a NoClassDefFoundError with no detail message
IllegalArgumentException.IllegalArgumentException(Throwable)	Constructs a new exception with the specified cause and a detail message of cause null null cause toString which typically contains the class and detail message of cause
StringBuilder.ensureCapacity(int)	Ensures that the capacity is at least equal to the specified minimum
ClassLoader.loadClass(String)	Loads the class with the specified binary name
Number.shortValue()	Returns the value of the specified number as a short
IncompleteAnnotationException.elementName()	Returns the name of the missing element
Compiler.command(Object)	Examines the argument type and its fields and perform some documented operation No specific operations are required
MethodType.methodType(Class)	Finds or creates a method type with the given components
StringBuilder.lastIndexOf(String)	Returns the index within this string of the rightmost occurrence of the specified substring The rightmost empty string is considered to occur at the index value this length
LockInfo.getIdentityHashCode()	Returns the identity hash code of the lock object returned from the System identityHashCode java lang Object method
Character.isDigit(char)	Determines if the specified character is a digit
IllegalStateException.IllegalStateException()	Constructs an IllegalStateException with no detail message
Double.Double(double)	Constructs a newly allocated Double object that represents the primitive double argument
Character.codePointBefore(char[],int)	Returns the code point preceding the given index of the char array If the char value at index 1 in the char array is in the low surrogate range index 2 is not negative and the char value at index 2 in the char array is in the high surrogate range then the supplementary code point corresponding to this surrogate pair is returned Otherwise the char value at index 1 is returned
Throwable.getStackTrace()	Provides programmatic access to the stack trace information printed by printStackTrace Returns an array of stack trace elements each representing one stack frame The zeroth element of the array assuming the array s length is non zero represents the top of the stack which is the last method invocation in the sequence Typically this is the point at which this throwable was created and thrown
ThreadInfo.getThreadId()	Returns the ID of the thread associated with this ThreadInfo
ManagementPermission.ManagementPermission(String,String)	Constructs a new ManagementPermission object
StringBuffer.append(char[],int,int)	Appends the string representation of a subarray of the char array argument to this sequence
Array.get(Object,int)	Returns the value of the indexed component in the specified array object The value is automatically wrapped in an object if it has a primitive type
StringBuffer.append(char)	Appends the string representation of the char argument to this sequence
Process.getInputStream()	Returns the input stream connected to the normal output of the subprocess The stream obtains data piped from the standard output of the process represented by this Process object
CloneNotSupportedException.CloneNotSupportedException(String)	Constructs a CloneNotSupportedException with the specified detail message
UnsatisfiedLinkError.UnsatisfiedLinkError()	Constructs an UnsatisfiedLinkError with no detail message
Class.getDeclaredAnnotations()	Description copied from interface AnnotatedElement
Modifier.isInterface(int)	Return true if the integer argument includes the interface modifier false otherwise
NoSuchMethodError.NoSuchMethodError()	Constructs a NoSuchMethodError with no detail message
StringBuilder.append(Object)	Appends the string representation of the Object argument
Long.toHexString(long)	Returns a string representation of the long argument as an unsigned integer in base 16
String.String(byte[],Charset)	Constructs a new String by decoding the specified array of bytes using the specified charset
StringBuffer.codePointCount(int,int)	Returns the number of Unicode code points in the specified text range of this sequence The text range begins at the specified beginIndex and extends to the char at index endIndex 1 Thus the length in chars of the text range is endIndex beginIndex Unpaired surrogates within this sequence count as one code point each
StringBuffer.insert(int,char[],int,int)	Inserts the string representation of a subarray of the str array argument into this sequence The subarray begins at the specified offset and extends len chars
Long.valueOf(String,int)	Returns a Long object holding the value extracted from the specified String when parsed with the radix given by the second argument The first argument is interpreted as representing a signed long in the radix specified by the second argument exactly as if the arguments were given to the parseLong java lang String int method The result is a Long object that represents the long value specified by the string
String.contentEquals(CharSequence)	Compares this string to the specified CharSequence The result is true if and only if this String represents the same sequence of char values as the specified sequence
Modifier.isTransient(int)	Return true if the integer argument includes the transient modifier false otherwise
SecurityManager.checkLink(String)	Throws a SecurityException if the calling thread is not allowed to dynamic link the library code specified by the string argument file The argument is either a simple library name or a complete filename
AssertionError.AssertionError()	Constructs an AssertionError with no detail message
Integer.rotateRight(int,int)	Returns the value obtained by rotating the two s complement binary representation of the specified int value right by the specified number of bits Bits shifted out of the right hand or low order side reenter on the left or high order Note that right rotation with a negative distance is equivalent to left rotation rotateRight val distance rotateLeft val distance Note also that rotation by any multiple of 32 is a no op so all but the last five bits of the rotation distance can be ignored even if the distance is negative rotateRight val distance rotateRight val distance 0x1F
InternalError.InternalError(String)	Constructs an InternalError with the specified detail message
RuntimeMXBean.getSpecName()	Returns the Java virtual machine specification name
String.getBytes(int,int,byte[],int)	Copies characters from this string into the destination byte array Each byte receives the 8 low order bits of the corresponding character The eight high order bits of each character are not copied and do not participate in the transfer in any way
RuntimeMXBean.getClassPath()	Returns the Java class path that is used by the system class loader to search for class files
Character.isBmpCodePoint(int)	Determines whether the specified character Unicode code point is in the Basic Multilingual Plane BMP
Math.nextUp(double)	Returns the floating point value adjacent to d in the direction of positive infinity This method is semantically equivalent to nextAfter d Double POSITIVE INFINITY however a nextUp implementation may run faster than its equivalent nextAfter call
Long.doubleValue()	Returns the value of this Long as a double
StringIndexOutOfBoundsException.StringIndexOutOfBoundsException(int)	Constructs a new StringIndexOutOfBoundsException class with an argument indicating the illegal index
ThreadInfo.toString()	Returns a string representation of this thread info
