ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
BitSet.xor(BitSet)	Performs a logical XOR of this bit set with the bit set argument This bit set is modified so that a bit in it has the value true if and only if one of the following statements holds The bit initially has the value true and the corresponding bit in the argument has the value false
AtomicIntegerFieldUpdater.weakCompareAndSet(T,int,int)	Atomically sets the field of the given object managed by this updater to the given updated value if the current value the expected value This method is guaranteed to be atomic with respect to other calls to compareAndSet and set but not necessarily with respect to other changes in the field
BitSet.set(int,int)	Sets the bits from the specified fromIndex inclusive to the specified toIndex exclusive to true
JarFile.JarFile(File)	Creates a new JarFile to read from the specified File object The JarFile will be verified if it is signed
Vector.set(int,E)	Replaces the element at the specified position in this Vector with the specified element
ScheduledThreadPoolExecutor.schedule(Callable,long,TimeUnit)	Description copied from interface ScheduledExecutorService
ArrayDeque.removeLast()	Description copied from interface Deque
DeflaterOutputStream.write(int)	Writes a byte to the compressed output stream This method will block until the byte can be written
AbstractQueuedSynchronizer.getQueuedThreads()	Returns a collection containing threads that may be waiting to acquire Because the actual set of threads may change dynamically while constructing this result the returned collection is only a best effort estimate The elements of the returned collection are in no particular order This method is designed to facilitate construction of subclasses that provide more extensive monitoring facilities
PriorityBlockingQueue.PriorityBlockingQueue(int,Comparator)	Creates a PriorityBlockingQueue with the specified initial capacity that orders its elements according to the specified comparator
AtomicBoolean.AtomicBoolean()	Creates a new AtomicBoolean with initial value false
AtomicInteger.compareAndSet(int,int)	Atomically sets the value to the given updated value if the current value the expected value
Date.getTime()	Returns the number of milliseconds since January 1 1970 00 00 00 GMT represented by this Date object
Observable.Observable()	Construct an Observable with zero Observers
BlockingDeque.takeLast()	Retrieves and removes the last element of this deque waiting if necessary until an element becomes available
Vector.lastIndexOf(Object)	Returns the index of the last occurrence of the specified element in this vector or 1 if this vector does not contain the element
ZipInputStream.ZipInputStream(InputStream,Charset)	Creates a new ZIP input stream
Attributes.hashCode()	Returns the hash code value for this Map
ForkJoinPool.getQueuedTaskCount()	Returns an estimate of the total number of tasks currently held in queues by worker threads but not including tasks submitted to the pool that have not begun executing This value is only an approximation obtained by iterating across all threads in the pool This method may be useful for tuning task granularities
Random.nextInt(int)	Returns a pseudorandom uniformly distributed int value between 0 inclusive and the specified value exclusive drawn from this random number generator s sequence The general contract of nextInt is that one int value in the specified range is pseudorandomly generated and returned All n possible int values are produced with approximately equal probability The method nextInt int n is implemented by class Random as if by public int nextInt int n if n 0 throw new IllegalArgumentException n must be positive if n n n i e n is a power of 2 return int n long next 31 31 int bits val do bits next 31 val bits n while bits val n 1 0 return val The hedge approximately is used in the foregoing description only because the next method is only approximately an unbiased source of independently chosen bits If it were a perfect source of randomly chosen bits then the algorithm shown would choose int values from the stated range with perfect uniformity
TransferQueue.hasWaitingConsumer()	Returns true if there is at least one consumer waiting to receive an element via BlockingQueue take or timed poll
Matcher.groupCount()	Returns the number of capturing groups in this matcher s pattern
Locale.setDefault(Category,Locale)	Sets the default locale for the specified Category for this instance of the Java Virtual Machine This does not affect the host locale
Attributes.Name.hashCode()	Computes the hash value for this attribute name
TransferQueue.getWaitingConsumerCount()	Returns an estimate of the number of consumers waiting to receive elements via BlockingQueue take or timed poll The return value is an approximation of a momentary state of affairs that may be inaccurate if consumers have completed or given up waiting
Arrays.toString(double[])	Returns a string representation of the contents of the specified array
AtomicLong.getAndSet(long)	Atomically sets to the given value and returns the old value
FormatFlagsConversionMismatchException.getConversion()	Returns the incompatible conversion
Queue.add(E)	Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions returning true upon success and throwing an IllegalStateException if no space is currently available
AbstractMap.SimpleEntry.AbstractMap.SimpleEntry(K,V)	Creates an entry representing a mapping from the specified key to the specified value
Arrays.hashCode(double[])	Returns a hash code based on the contents of the specified array
ReentrantReadWriteLock.getReadLockCount()	Queries the number of read locks held for this lock This method is designed for use in monitoring system state not for synchronization control
EnumSet.copyOf(Collection)	Creates an enum set initialized from the specified collection If the specified collection is an EnumSet instance this static factory method behaves identically to copyOf EnumSet
Lock.tryLock()	Acquires the lock only if it is free at the time of invocation
ReentrantLock.isHeldByCurrentThread()	Queries if this lock is held by the current thread
ConcurrentHashMap.contains(Object)	Legacy method testing if some key maps into the specified value in this table This method is identical in functionality to containsValue java lang Object and exists solely to ensure full compatibility with class Hashtable which supported this method prior to introduction of the Java Collections framework
Date.setMonth(int)	Sets the month of this date to the specified value This Date object is modified so that it represents a point in time within the specified month with the year date hour minute and second the same as before as interpreted in the local time zone If the date was October 31 for example and the month is set to June then the new date will be treated as if it were on July 1 because June has only 30 days
AtomicIntegerFieldUpdater.getAndSet(T,int)	Atomically sets the field of the given object managed by this updater to the given value and returns the old value
GregorianCalendar.roll(int,boolean)	Adds or subtracts up down a single unit of time on the given time field without changing larger fields
ReentrantLock.hasQueuedThread(Thread)	Queries whether the given thread is waiting to acquire this lock Note that because cancellations may occur at any time a true return does not guarantee that this thread will ever acquire this lock This method is designed primarily for use in monitoring of the system state
LockSupport.parkUntil(Object,long)	Disables the current thread for thread scheduling purposes until the specified deadline unless the permit is available
Attributes.isEmpty()	Returns true if this Map contains no attributes
Map.entrySet()	Returns a Set view of the mappings contained in this map
ZipEntry.getComment()	Returns the comment string for the entry or null if none
HashMap.keySet()	Returns a Set view of the keys contained in this map
AtomicLong.compareAndSet(long,long)	Atomically sets the value to the given updated value if the current value the expected value
JarInputStream.read(byte[],int,int)	Reads from the current JAR file entry into an array of bytes
TreeSet.iterator()	Returns an iterator over the elements in this set in ascending order
SimpleTimeZone.getOffset(int,int,int,int,int,int)	Returns the difference in milliseconds between local time and UTC taking into account both the raw offset and the effect of daylight saving for the specified date and time This method assumes that the start and end month are distinct It also uses a default GregorianCalendar object as its underlying calendar such as for determining leap years Do not use the result of this method with a calendar other than a default GregorianCalendar
ForkJoinTask.completeExceptionally(Throwable)	Completes this task abnormally and if not already aborted or cancelled causes it to throw the given exception upon join and related operations This method may be used to induce exceptions in asynchronous tasks or to force completion of tasks that would not otherwise complete Its use in other situations is discouraged This method is overridable but overridden versions must invoke super implementation to maintain guarantees
BlockingDeque.remove()	Retrieves and removes the head of the queue represented by this deque in other words the first element of this deque
ScheduledThreadPoolExecutor.submit(Runnable,T)	Description copied from interface ExecutorService
IdentityHashMap.hashCode()	Returns the hash code value for this map The hash code of a map is defined to be the sum of the hash codes of each entry in the map s entrySet view This ensures that m1 equals m2 implies that m1 hashCode m2 hashCode for any two IdentityHashMap instances m1 and m2 as required by the general contract of Object hashCode
Level.getName()	Return the non localized string name of the Level
AbstractList.set(int,E)	Replaces the element at the specified position in this list with the specified element optional operation
ReentrantLock.isFair()	Returns true if this lock has fairness set true
Logger.getLevel()	Get the log Level that has been specified for this Logger
ExecutorCompletionService.submit(Runnable,V)	Description copied from interface CompletionService
ConcurrentSkipListMap.ceilingEntry(K)	Returns a key value mapping associated with the least key greater than or equal to the given key or null if there is no such entry The returned entry does not support the Entry setValue method
SynchronousQueue.offer(E)	Inserts the specified element into this queue if another thread is waiting to receive it
ForkJoinTask.adapt(Callable)	Returns a new ForkJoinTask that performs the call method of the given Callable as its action and returns its result upon join translating any checked exceptions encountered into RuntimeException
Hashtable.containsValue(Object)	Returns true if this hashtable maps one or more keys to this value
Arrays.fill(long[],long)	Assigns the specified long value to each element of the specified array of longs
ConcurrentHashMap.elements()	Returns an enumeration of the values in this table
Properties.Properties()	Creates an empty property list with no default values
Stack.push(E)	Pushes an item onto the top of this stack This has exactly the same effect as addElement item
TreeSet.pollLast()	Description copied from interface NavigableSet
ConcurrentLinkedQueue.add(E)	Inserts the specified element at the tail of this queue
SynchronousQueue.drainTo(Collection)	Description copied from interface BlockingQueue
Locale.Builder.setLocale(Locale)	Resets the Builder to match the provided locale Existing state is discarded
DelayQueue.poll(long,TimeUnit)	Retrieves and removes the head of this queue waiting if necessary until an element with an expired delay is available on this queue or the specified wait time expires
TreeSet.addAll(Collection)	Adds all of the elements in the specified collection to this set
ReadWriteLock.readLock()	Returns the lock used for reading
Manifest.clear()	Clears the main Attributes as well as the entries in this Manifest
Vector.elementAt(int)	Returns the component at the specified index
Queue.element()	Retrieves but does not remove the head of this queue This method differs from peek only in that it throws an exception if this queue is empty
Timer.Timer(boolean)	Creates a new timer whose associated thread may be specified to run as a daemon
AbstractQueuedLongSynchronizer.hasQueuedThreads()	Queries whether any threads are waiting to acquire Note that because cancellations due to interrupts and timeouts may occur at any time a true return does not guarantee that any other thread will ever acquire
TreeMap.entrySet()	Returns a Set view of the mappings contained in this map
Date.Date(int,int,int)	Allocates a Date object and initializes it so that it represents midnight local time at the beginning of the day specified by the year month and date arguments
ExecutorService.invokeAll(Collection)	Executes the given tasks returning a list of Futures holding their status and results when all complete
Arrays.hashCode(Object[])	Returns a hash code based on the contents of the specified array If the array contains other arrays as elements the hash code is based on their identities rather than their contents It is therefore acceptable to invoke this method on an array that contains itself as an element either directly or indirectly through one or more levels of arrays
ForkJoinPool.submit(ForkJoinTask)	Submits a ForkJoinTask for execution
LocaleNameProvider.getDisplayVariant(String,Locale)	Returns a localized name for the given variant code and the given locale that is appropriate for display to the user
Map.Entry.setValue(V)	Replaces the value corresponding to this entry with the specified value optional operation Writes through to the map The behavior of this call is undefined if the mapping has already been removed from the map by the iterator s remove operation
ReentrantReadWriteLock.hasQueuedThreads()	Queries whether any threads are waiting to acquire the read or write lock Note that because cancellations may occur at any time a true return does not guarantee that any other thread will ever acquire a lock This method is designed primarily for use in monitoring of the system state
InflaterInputStream.read()	Reads a byte of uncompressed data This method will block until enough input is available for decompression
Level.toString()	Returns a string representation of this Level
Vector.retainAll(Collection)	Retains only the elements in this Vector that are contained in the specified Collection In other words removes from this Vector all of its elements that are not contained in the specified Collection
Locale.getDisplayCountry()	Returns a name for the locale s country that is appropriate for display to the user
Calendar.clone()	Creates and returns a copy of this object
ResourceBundle.Control.newBundle(String,Locale,String,ClassLoader,boolean)	Instantiates a resource bundle for the given bundle name of the given format and locale using the given class loader if necessary This method returns null if there is no resource bundle available for the given parameters If a resource bundle can t be instantiated due to an unexpected error the error must be reported by throwing an Error or Exception rather than simply returning null
Inflater.setDictionary(byte[])	Sets the preset dictionary to the given array of bytes Should be called when inflate returns 0 and needsDictionary returns true indicating that a preset dictionary is required The method getAdler can be used to get the Adler 32 value of the dictionary needed
AbstractMap.SimpleImmutableEntry.getKey()	Returns the key corresponding to this entry
Scanner.ioException()	Returns the IOException last thrown by this Scanner s underlying Readable This method returns null if no such exception exists
GregorianCalendar.GregorianCalendar(int,int,int,int,int)	Constructs a GregorianCalendar with the given date and time set for the default time zone with the default locale
Scanner.Scanner(ReadableByteChannel,String)	Constructs a new Scanner that produces values scanned from the specified channel Bytes from the source are converted into characters using the specified charset
ConcurrentLinkedDeque.remove()	Description copied from interface Deque
EnumMap.entrySet()	Returns a Set view of the mappings contained in this map
DelayQueue.drainTo(Collection,int)	Description copied from interface BlockingQueue
TreeSet.headSet(E,boolean)	Description copied from interface NavigableSet
ConcurrentSkipListMap.putIfAbsent(K,V)	If the specified key is not already associated with a value associate it with the given value
Executor.execute(Runnable)	Executes the given command at some time in the future The command may execute in a new thread in a pooled thread or in the calling thread at the discretion of the Executor implementation
CopyOnWriteArraySet.iterator()	Returns an iterator over the elements contained in this set in the order in which these elements were added
AbstractList.clear()	Removes all of the elements from this list optional operation
LinkedTransferQueue.poll(long,TimeUnit)	Description copied from interface BlockingQueue
TreeMap.tailMap(K,boolean)	Description copied from interface NavigableMap
EnumSet.copyOf(EnumSet)	Creates an enum set with the same element type as the specified enum set initially containing the same elements if any
BlockingDeque.peek()	Retrieves but does not remove the head of the queue represented by this deque in other words the first element of this deque or returns null if this deque is empty
Phaser.forceTermination()	Forces this phaser to enter termination state Counts of registered parties are unaffected If this phaser is a member of a tiered set of phasers then all of the phasers in the set are terminated If this phaser is already terminated this method has no effect This method may be useful for coordinating recovery after one or more tasks encounter unexpected exceptions
LinkedList.set(int,E)	Replaces the element at the specified position in this list with the specified element
BlockingQueue.remainingCapacity()	Returns the number of additional elements that this queue can ideally in the absence of memory or resource constraints accept without blocking or Integer MAX VALUE if there is no intrinsic limit
LinkedHashMap.LinkedHashMap(int)	Constructs an empty insertion ordered LinkedHashMap instance with the specified initial capacity and a default load factor 0 75
Queue.remove()	Retrieves and removes the head of this queue This method differs from poll only in that it throws an exception if this queue is empty
ForkJoinTask.isCancelled()	Description copied from interface Future
AtomicIntegerFieldUpdater.getAndAdd(T,int)	Atomically adds the given value to the current value of the field of the given object managed by this updater
Handler.setFormatter(Formatter)	Set a Formatter This Formatter will be used to format LogRecords for this Handler
ZipOutputStream.putNextEntry(ZipEntry)	Begins writing a new ZIP file entry and positions the stream to the start of the entry data Closes the current entry if still active
HashMap.containsKey(Object)	Returns true if this map contains a mapping for the specified key
ConcurrentNavigableMap.navigableKeySet()	Returns a NavigableSet view of the keys contained in this map
AtomicLongArray.toString()	Returns the String representation of the current values of array
ExecutorService.awaitTermination(long,TimeUnit)	Blocks until all tasks have completed execution after a shutdown request or the timeout occurs or the current thread is interrupted whichever happens first
BlockingQueue.put(E)	Inserts the specified element into this queue waiting if necessary for space to become available
ArrayList.isEmpty()	Returns true if this list contains no elements
RunnableScheduledFuture.isPeriodic()	Returns true if this is a periodic task A periodic task may re run according to some schedule A non periodic task can be run only once
Calendar.get(int)	Returns the value of the given calendar field In lenient mode all calendar fields are normalized In non lenient mode all calendar fields are validated and this method throws an exception if any calendar fields have out of range values The normalization and validation are handled by the complete method which process is calendar system dependent
ListIterator.nextIndex()	Returns the index of the element that would be returned by a subsequent call to next Returns list size if the list iterator is at the end of the list
CopyOnWriteArrayList.isEmpty()	Returns true if this list contains no elements
Executors.unconfigurableScheduledExecutorService(ScheduledExecutorService)	Returns an object that delegates all defined ScheduledExecutorService methods to the given executor but not any other methods that might otherwise be accessible using casts This provides a way to safely freeze configuration and disallow tuning of a given concrete implementation
ForkJoinTask.get()	Waits if necessary for the computation to complete and then retrieves its result
TimeZone.getDisplayName(boolean,int,Locale)	Returns a name in the specified style of this TimeZone suitable for presentation to the user in the specified locale If the specified daylight is true a Daylight Saving Time name is returned even if this TimeZone doesn t observe Daylight Saving Time Otherwise a Standard Time name is returned
Collections.singletonMap(K,V)	Returns an immutable map mapping only the specified key to the specified value The returned map is serializable
EnumSet.of(E,)	Creates an enum set initially containing the specified elements
AbstractMap.entrySet()	Description copied from interface Map
MemoryHandler.push()	Push any buffered output to the target Handler
SimpleTimeZone.setStartYear(int)	Sets the daylight saving time starting year
BitSet.intersects(BitSet)	Returns true if the specified BitSet has any bits set to true that are also set to true in this BitSet
Matcher.hitEnd()	Returns true if the end of input was hit by the search engine in the last match operation performed by this matcher
ScheduledThreadPoolExecutor.execute(Runnable)	Executes command with zero required delay
ServiceConfigurationError.ServiceConfigurationError(String,Throwable)	Constructs a new instance with the specified message and cause
SortedSet.subSet(E,E)	Returns a view of the portion of this set whose elements range from fromElement inclusive to toElement exclusive If fromElement and toElement are equal the returned set is empty The returned set is backed by this set so changes in the returned set are reflected in this set and vice versa The returned set supports all optional set operations that this set supports
PriorityQueue.iterator()	Returns an iterator over the elements in this queue The iterator does not return the elements in any particular order
Arrays.binarySearch(double[],double)	Searches the specified array of doubles for the specified value using the binary search algorithm The array must be sorted as by the sort double method prior to making this call
Adler32.update(int)	Updates the checksum with the specified byte the low eight bits of the argument b
LinkedList.remove(Object)	Removes the first occurrence of the specified element from this list if it is present If this list does not contain the element it is unchanged More formally removes the element with the lowest index i such that o null get i null o equals get i if such an element exists Returns true if this list contained the specified element or equivalently if this list changed as a result of the call
MemoryHandler.close()	Close the Handler and free all associated resources
Queue.poll()	Retrieves and removes the head of this queue or returns null if this queue is empty
TimeZone.getTimeZone(String)	Gets the TimeZone for the given ID
DeflaterOutputStream.DeflaterOutputStream(OutputStream,Deflater)	Creates a new output stream with the specified compressor and a default buffer size
Deque.remove(Object)	Removes the first occurrence of the specified element from this deque
LinkedBlockingQueue.iterator()	Returns an iterator over the elements in this queue in proper sequence
AtomicReference.AtomicReference(V)	Creates a new AtomicReference with the given initial value
TreeMap.navigableKeySet()	Description copied from interface NavigableMap
Scanner.findWithinHorizon(Pattern,int)	Attempts to find the next occurrence of the specified pattern
PriorityBlockingQueue.offer(E,long,TimeUnit)	Inserts the specified element into this priority queue
Handler.publish(LogRecord)	Publish a LogRecord
Deque.pollLast()	Retrieves and removes the last element of this deque or returns null if this deque is empty
ReentrantLock.ReentrantLock()	Creates an instance of ReentrantLock
ArrayList.addAll(Collection)	Appends all of the elements in the specified collection to the end of this list in the order that they are returned by the specified collection s Iterator The behavior of this operation is undefined if the specified collection is modified while the operation is in progress This implies that the behavior of this call is undefined if the specified collection is this list and this list is nonempty
AtomicLongFieldUpdater.getAndAdd(T,long)	Atomically adds the given value to the current value of the field of the given object managed by this updater
TreeMap.size()	Returns the number of key value mappings in this map
LogRecord.setSourceClassName(String)	Set the name of the class that allegedly issued the logging request
Scanner.hasNextBigDecimal()	Returns true if the next token in this scanner s input can be interpreted as a BigDecimal using the nextBigDecimal method The scanner does not advance past any input
TimeZone.getDisplayName(boolean,int)	Returns a name in the specified style of this TimeZone suitable for presentation to the user in the default locale If the specified daylight is true a Daylight Saving Time name is returned even if this TimeZone doesn t observe Daylight Saving Time Otherwise a Standard Time name is returned
LoggingPermission.LoggingPermission(String,String)	Creates a new LoggingPermission object
Attributes.size()	Returns the number of attributes in this Map
Attributes.entrySet()	Returns a Collection view of the attribute name value mappings contained in this Map
SimpleTimeZone.setStartRule(int,int,int,int,boolean)	Sets the daylight saving time start rule to a weekday before or after the given date within a month e g the first Monday on or after the 8th
Deflater.deflate(byte[],int,int,int)	Compresses the input data and fills the specified buffer with compressed data Returns actual number of bytes of data compressed
BitSet.nextSetBit(int)	Returns the index of the first bit that is set to true that occurs on or after the specified starting index If no such bit exists then 1 is returned
PreferenceChangeListener.preferenceChange(PreferenceChangeEvent)	This method gets called when a preference is added removed or when its value is changed
Locale.Locale.forLanguageTag(getLanguage);)	
SimpleTimeZone.observesDaylightTime()	Returns true if this SimpleTimeZone observes Daylight Saving Time This method is equivalent to useDaylightTime
JarException.JarException(String)	Constructs a JarException with the specified detail message
AbstractPreferences.remove(String)	Implements the remove String method as per the specification in Preferences remove String
Vector.equals(Object)	Compares the specified Object with this Vector for equality Returns true if and only if the specified Object is also a List both Lists have the same size and all corresponding pairs of elements in the two Lists are equal Two elements e1 and e2 are equal if e1 null e2 null e1 equals e2 In other words two Lists are defined to be equal if they contain the same elements in the same order
AtomicLong.longValue()	Description copied from class Number
List.remove(int)	Removes the element at the specified position in this list optional operation Shifts any subsequent elements to the left subtracts one from their indices Returns the element that was removed from the list
ArrayBlockingQueue.remove(Object)	Removes a single instance of the specified element from this queue if it is present More formally removes an element e such that o equals e if this queue contains one or more such elements
TreeMap.keySet()	Returns a Set view of the keys contained in this map
Calendar.after(Object)	Returns whether this Calendar represents a time after the time represented by the specified Object This method is equivalent to compareTo when 0 if and only if when is a Calendar instance Otherwise the method returns false
ArrayDeque.getFirst()	Description copied from interface Deque
AtomicBoolean.getAndSet(boolean)	Atomically sets to the given value and returns the previous value
ArrayDeque.peekFirst()	Description copied from interface Deque
CopyOnWriteArrayList.addIfAbsent(E)	Append the element if not present
SortedMap.keySet()	Returns a Set view of the keys contained in this map
Properties.loadFromXML(InputStream)	Loads all of the properties represented by the XML document on the specified input stream into this properties table
Phaser.awaitAdvanceInterruptibly(int,long,TimeUnit)	Awaits the phase of this phaser to advance from the given phase value or the given timeout to elapse throwing InterruptedException if interrupted while waiting or returning immediately if the current phase is not equal to the given phase value or this phaser is terminated
Calendar.setTimeZone(TimeZone)	Sets the time zone with the given time zone value
TreeSet.TreeSet()	Constructs a new empty tree set sorted according to the natural ordering of its elements All elements inserted into the set must implement the Comparable interface
Pattern.flags()	Returns this pattern s match flags
Formatter.format(Locale,String,)	Writes a formatted string to this object s destination using the specified locale format string and arguments
CountDownLatch.await(long,TimeUnit)	Causes the current thread to wait until the latch has counted down to zero unless the thread is interrupted or the specified waiting time elapses
CyclicBarrier.reset()	Resets the barrier to its initial state If any parties are currently waiting at the barrier they will return with a BrokenBarrierException Note that resets after a breakage has occurred for other reasons can be complicated to carry out threads need to re synchronize in some other way and choose one to perform the reset It may be preferable to instead create a new barrier for subsequent use
ForkJoinPool.ManagedBlocker.isReleasable()	Returns true if blocking is unnecessary
BlockingDeque.pollLast(long,TimeUnit)	Retrieves and removes the last element of this deque waiting up to the specified wait time if necessary for an element to become available
Collections.newSetFromMap(Map)	Returns a set backed by the specified map The resulting set displays the same ordering concurrency and performance characteristics as the backing map In essence this factory method provides a Set implementation corresponding to any Map implementation There is no need to use this method on a Map implementation that already has a corresponding Set implementation such as HashMap or TreeMap
Pattern.compile(String)	Compiles the given regular expression into a pattern
DelayQueue.offer(E,long,TimeUnit)	Inserts the specified element into this delay queue As the queue is unbounded this method will never block
Collection.hashCode()	Returns the hash code value for this collection While the Collection interface adds no stipulations to the general contract for the Object hashCode method programmers should take note that any class that overrides the Object equals method must also override the Object hashCode method in order to satisfy the general contract for the Object hashCode method
LogManager.getLogger(String)	Method to find a named logger
ForkJoinPool.isShutdown()	Returns true if this pool has been shut down
ResourceBundle.clearCache(ClassLoader)	Removes all resource bundles from the cache that have been loaded using the given class loader
IdentityHashMap.remove(Object)	Removes the mapping for this key from this map if present
ZipFile.entries()	Returns an enumeration of the ZIP file entries
Date.Date()	Allocates a Date object and initializes it so that it represents the time at which it was allocated measured to the nearest millisecond
SynchronousQueue.retainAll(Collection)	Always returns false
GZIPOutputStream.GZIPOutputStream(OutputStream,int,boolean)	Creates a new output stream with the specified buffer size and flush mode
Calendar.getInstance(TimeZone)	Gets a calendar using the specified time zone and default locale
Collection.iterator()	Returns an iterator over the elements in this collection There are no guarantees concerning the order in which the elements are returned unless this collection is an instance of some class that provides a guarantee
Vector.remove(Object)	Removes the first occurrence of the specified element in this Vector If the Vector does not contain the element it is unchanged More formally removes the element with the lowest index i such that o null get i null o equals get i if such an element exists
ConcurrentLinkedQueue.toArray()	Returns an array containing all of the elements in this queue in proper sequence
ArrayDeque.pollFirst()	Description copied from interface Deque
Collections.reverseOrder()	Returns a comparator that imposes the reverse of the natural ordering on a collection of objects that implement the Comparable interface The natural ordering is the ordering imposed by the objects own compareTo method This enables a simple idiom for sorting or maintaining collections or arrays of objects that implement the Comparable interface in reverse natural order For example suppose a is an array of strings Then Arrays sort a Collections reverseOrder sorts the array in reverse lexicographic alphabetical order
ExecutorService.isTerminated()	Returns true if all tasks have completed following shut down
Properties.propertyNames()	Returns an enumeration of all the keys in this property list including distinct keys in the default property list if a key of the same name has not already been found from the main properties list
Handler.setFilter(Filter)	Set a Filter to control output on this Handler
ForkJoinPool.ForkJoinWorkerThreadFactory.newThread(ForkJoinPool)	Returns a new worker thread operating in the given pool
ConcurrentSkipListSet.equals(Object)	Compares the specified object with this set for equality Returns true if the specified object is also a set the two sets have the same size and every member of the specified set is contained in this set or equivalently every member of this set is contained in the specified set This definition ensures that the equals method works properly across different implementations of the set interface
Timer.schedule(TimerTask,long)	Schedules the specified task for execution after the specified delay
LinkedList.add(E)	Appends the specified element to the end of this list
Formatter.Formatter(OutputStream,String,Locale)	Constructs a new formatter with the specified output stream charset and locale
LinkedBlockingDeque.removeLastOccurrence(Object)	Description copied from interface BlockingDeque
PriorityBlockingQueue.PriorityBlockingQueue(int)	Creates a PriorityBlockingQueue with the specified initial capacity that orders its elements according to their natural ordering
HashMap.size()	Returns the number of key value mappings in this map
Matcher.regionEnd()	Reports the end index exclusive of this matcher s region
Preferences.removePreferenceChangeListener(PreferenceChangeListener)	Removes the specified preference change listener so it no longer receives preference change events
LinkedList.pollLast()	Retrieves and removes the last element of this list or returns null if this list is empty
Vector.subList(int,int)	Returns a view of the portion of this List between fromIndex inclusive and toIndex exclusive If fromIndex and toIndex are equal the returned List is empty The returned List is backed by this List so changes in the returned List are reflected in this List and vice versa The returned List supports all of the optional List operations supported by this List
ExecutorCompletionService.poll()	Description copied from interface CompletionService
Locale.getDefault()	Gets the current value of the default locale for this instance of the Java Virtual Machine
Calendar.clear()	Sets all the calendar field values and the time value millisecond offset from the Epoch of this Calendar undefined This means that isSet will return false for all the calendar fields and the date and time calculations will treat the fields as if they had never been set A Calendar implementation class may use its specific default field values for date time calculations For example GregorianCalendar uses 1970 if the YEAR field value is undefined
Set.size()	Returns the number of elements in this set its cardinality If this set contains more than Integer MAX VALUE elements returns Integer MAX VALUE
HashSet.size()	Returns the number of elements in this set its cardinality
DeflaterInputStream.close()	Closes this input stream and its underlying input stream discarding any pending uncompressed data
AtomicLongArray.getAndDecrement(int)	Atomically decrements by one the element at index i
ForkJoinTask.helpQuiesce()	Possibly executes tasks until the pool hosting the current task is quiescent This method may be of use in designs in which many tasks are forked but none are explicitly joined instead executing them until all are processed
LinkedBlockingDeque.LinkedBlockingDeque(int)	Creates a LinkedBlockingDeque with the given fixed capacity
FileHandler.FileHandler(String,boolean)	Initialize a FileHandler to write to the given filename with optional append
Calendar.isSet(int)	Determines if the given calendar field has a value set including cases that the value has been set by internal fields calculations triggered by a get method call
Inflater.finished()	Returns true if the end of the compressed data stream has been reached
Collections.binarySearch(List,T,Comparator)	Searches the specified list for the specified object using the binary search algorithm The list must be sorted into ascending order according to the specified comparator as by the sort List Comparator method prior to making this call If it is not sorted the results are undefined If the list contains multiple elements equal to the specified object there is no guarantee which one will be found
AbstractQueuedSynchronizer.owns(ConditionObject)	Queries whether the given ConditionObject uses this synchronizer as its lock
AtomicLong.floatValue()	Description copied from class Number
ReentrantReadWriteLock.hasWaiters(Condition)	Queries whether any threads are waiting on the given condition associated with the write lock Note that because timeouts and interrupts may occur at any time a true return does not guarantee that a future signal will awaken any threads This method is designed primarily for use in monitoring of the system state
ConcurrentLinkedQueue.isEmpty()	Returns true if this queue contains no elements
EnumSet.clone()	Returns a copy of this set
SimpleTimeZone.toString()	Returns a string representation of this time zone
ArrayDeque.poll()	Retrieves and removes the head of the queue represented by this deque in other words the first element of this deque or returns null if this deque is empty
ConcurrentLinkedDeque.peekFirst()	Description copied from interface Deque
Collections.checkedSortedSet(SortedSet,Class)	Returns a dynamically typesafe view of the specified sorted set
LinkedList.pollFirst()	Retrieves and removes the first element of this list or returns null if this list is empty
DelayQueue.toArray(T[])	Returns an array containing all of the elements in this queue the runtime type of the returned array is that of the specified array
Preferences.sync()	Ensures that future reads from this preference node and its descendants reflect any changes that were committed to the persistent store from any VM prior to the sync invocation As a side effect forces any changes in the contents of this preference node and its descendants to the persistent store as if the flush method had been invoked on this node
Attributes.Attributes(Attributes)	Constructs a new Attributes object with the same attribute name value mappings as in the specified Attributes
Properties.load(InputStream)	Reads a property list key and element pairs from the input byte stream The input stream is in a simple line oriented format as specified in load Reader and is assumed to use the ISO 8859 1 character encoding that is each byte is one Latin1 character Characters not in Latin1 and certain special characters are represented in keys and elements using Unicode escapes as defined in section 3 3 of The Java Language Specification
CopyOnWriteArrayList.set(int,E)	Replaces the element at the specified position in this list with the specified element
AtomicInteger.weakCompareAndSet(int,int)	Atomically sets the value to the given updated value if the current value the expected value
AbstractQueuedLongSynchronizer.ConditionObject.awaitNanos(long)	Implements timed condition wait
LinkedBlockingDeque.drainTo(Collection,int)	Description copied from interface BlockingQueue
IllegalFormatPrecisionException.getPrecision()	Returns the precision
AbstractPreferences.getInt(String,int)	Implements the getInt method as per the specification in Preferences getInt String int
StringTokenizer.nextToken()	Returns the next token from this string tokenizer
Date.clone()	Return a copy of this object
Deflater.end()	Closes the compressor and discards any unprocessed input
Callable.call()	Computes a result or throws an exception if unable to do so
